Changes in global mean sea level (GMSL) in millimeters compared to 1995-2014 average. Note that we have computed symmetric uncertainties for FR2020 based on their 5th to 95th percentile range and converted to 1-sigma.
Year,CW2011,HA2015,DA2017,DA2019,FR2020,CW2011 Unc. (1-sigma),HA2015 Unc. (1-sigma),DA2017 Unc. (1-sigma),DA2019 Unc. (1-sigma),FR2020 Unc. (1-sigma)
1880.5,-198.87777777777777,nan,nan,nan,nan,24.2,nan,nan,nan,nan
1881.5,-193.27777777777777,nan,nan,nan,nan,24.2,nan,nan,nan,nan
1882.5,-210.07777777777778,nan,nan,nan,nan,23.0,nan,nan,nan,nan
1883.5,-204.77777777777777,nan,nan,nan,nan,22.8,nan,nan,nan,nan
1884.5,-183.87777777777777,nan,nan,nan,nan,22.2,nan,nan,nan,nan
1885.5,-185.37777777777777,nan,nan,nan,nan,21.9,nan,nan,nan,nan
1886.5,-187.77777777777777,nan,nan,nan,nan,20.8,nan,nan,nan,nan
1887.5,-193.37777777777777,nan,nan,nan,nan,20.8,nan,nan,nan,nan
1888.5,-191.27777777777777,nan,nan,nan,nan,20.8,nan,nan,nan,nan
1889.5,-189.67777777777778,nan,nan,nan,nan,20.8,nan,nan,nan,nan
1890.5,-187.67777777777778,nan,nan,nan,nan,20.7,nan,nan,nan,nan
1891.5,-189.37777777777777,nan,nan,nan,nan,20.7,nan,nan,nan,nan
1892.5,-186.17777777777778,nan,nan,nan,nan,20.7,nan,nan,nan,nan
1893.5,-181.4777777777778,nan,nan,nan,nan,20.3,nan,nan,nan,nan
1894.5,-191.17777777777778,nan,nan,nan,nan,21.6,nan,nan,nan,nan
1895.5,-179.37777777777777,nan,nan,nan,nan,21.6,nan,nan,nan,nan
1896.5,-186.9777777777778,nan,nan,nan,nan,21.2,nan,nan,nan,nan
1897.5,-181.77777777777777,nan,nan,nan,nan,20.8,nan,nan,nan,nan
1898.5,-172.37777777777777,nan,nan,nan,nan,19.7,nan,nan,nan,nan
1899.5,-164.8777777777778,nan,nan,nan,nan,19.4,nan,nan,nan,nan
1900.5,-170.27777777777777,-145.285,nan,-148.93166666666664,-154.8437351030269,18.3,25.32,nan,21.558333333333334,19.610112497843694
1901.5,-170.67777777777778,-144.635,nan,-147.84833333333336,-150.3839682713223,17.6,25.17,nan,21.408333333333335,20.00247180682485
1902.5,-166.07777777777778,-143.905,-129.13125,-145.565,-161.9722599612959,17.3,25.01,24.8,21.31666666666666,19.559965320162966
1903.5,-158.07777777777778,-142.98499999999999,-105.13125,-145.215,-151.8501252576173,17.0,24.86,24.8,21.141666666666662,19.050038929212338
1904.5,-168.37777777777777,-142.23499999999999,-138.53125,-143.18166666666667,-150.302363903221,16.9,24.7,25.099999999999998,21.01666666666667,19.009087230776768
1905.5,-173.87777777777777,-141.695,-130.83124999999998,-141.07333333333335,-142.563721733928,15.4,24.55,22.1,20.875,18.620047380171787
1906.5,-167.07777777777778,-140.605,-144.93125,-140.89000000000001,-157.1875593471316,14.7,24.4,22.0,20.75,18.915435024290527
1907.5,-168.4777777777778,-139.225,-134.43124999999998,-138.69833333333335,-150.8515155114421,14.9,24.25,22.0,20.65833333333333,17.81635973989744
1908.5,-170.9777777777778,-138.125,-132.93125,-137.04,-165.6948018327528,14.5,24.1,21.9,20.508333333333336,19.157834092335808
1909.5,-166.47777777777776,-136.745,-137.53125,-137.42333333333337,-160.3082443827951,14.6,23.95,21.6,20.383333333333333,19.590936934461872
1910.5,-166.57777777777778,-134.495,-142.13125,-136.49833333333333,-158.7037663211125,14.6,23.8,21.5,20.28333333333333,19.20482339978603
1911.5,-158.27777777777777,-131.79500000000002,-129.33124999999998,-133.5316666666667,-143.3008606283065,14.2,23.65,22.0,20.158333333333328,18.44712085380815
1912.5,-161.3777777777778,-129.005,-124.13125,-132.67333333333332,-135.6478337627897,14.2,23.51,21.5,20.041666666666664,18.231073088295382
1913.5,-159.57777777777778,-126.30499999999999,-128.13125,-131.62333333333336,-128.0301930519012,14.1,23.36,21.5,19.924999999999997,17.890324810151
1914.5,-153.27777777777777,-123.955,-106.73124999999999,-130.38166666666666,-126.03923596174201,13.8,23.21,21.5,19.766666666666666,17.67907201457277
1915.5,-145.3777777777778,-122.27499999999999,-111.23125,-128.56500000000003,-122.52962551695009,13.6,23.07,21.5,19.650000000000006,18.006827540064553
1916.5,-147.27777777777777,-121.705,-150.73125,-129.33166666666668,-148.8402502024147,13.0,22.92,21.9,19.533333333333328,17.64532464432249
1917.5,-151.77777777777777,-121.545,-158.63125,-128.58166666666668,-138.9814399191111,12.8,22.77,21.9,19.391666666666666,17.755681989128743
1918.5,-153.3777777777778,-121.27499999999999,-127.03124999999999,-125.82333333333334,-134.9468315923977,12.7,22.62,20.6,19.26666666666667,17.149509241826262
1919.5,-151.77777777777777,-120.535,-116.93124999999999,-124.765,-128.505830338299,12.7,22.48,20.5,19.15833333333333,16.95525704633976
1920.5,-150.47777777777776,-119.565,-119.03125,-124.97333333333333,-119.87861652847221,13.0,22.33,21.0,19.03333333333333,16.926714223945716
1921.5,-148.3777777777778,-119.66499999999999,-119.33124999999998,-124.98166666666668,-120.20692964818059,13.1,22.18,20.6,18.916666666666668,16.197571587404248
1922.5,-149.27777777777777,-120.495,-113.43124999999999,-122.82333333333332,-121.7521122273138,13.2,22.04,21.0,18.78333333333333,16.718361718901946
1923.5,-148.07777777777778,-121.245,-133.33124999999998,-121.96499999999999,-136.5553536223145,13.0,21.89,21.5,18.666666666666668,17.438435530105775
1924.5,-155.3777777777778,-121.625,-118.73125,-121.66499999999998,-131.2978013318779,13.1,21.74,20.5,18.54166666666667,15.911547443917938
1925.5,-153.3777777777778,-121.865,-124.63125,-120.29833333333333,-135.9474580062971,13.6,21.59,20.5,18.425,16.184343043291612
1926.5,-146.8777777777778,-121.63499999999999,-130.53125,-120.14,-136.6144964683146,13.7,21.44,20.9,18.324999999999996,15.493214980361039
1927.5,-147.97777777777776,-121.185,-132.53125,-119.44833333333334,-129.7423470365898,12.9,21.29,20.9,18.166666666666664,14.975144565515127
1928.5,-151.8777777777778,-120.625,-131.53125,-117.565,-132.2197799701422,12.3,21.14,20.9,18.04166666666667,15.419970549542683
1929.5,-150.47777777777776,-118.905,-135.33124999999998,-115.17333333333336,-132.9116885699901,12.1,20.99,20.9,17.924999999999997,14.404646542444262
1930.5,-146.47777777777776,-116.865,-122.63125,-113.77333333333335,-128.0132560601674,12.0,20.83,20.9,17.775,14.774077062818971
1931.5,-146.8777777777778,-114.41499999999999,-124.83125,-113.99,-127.69237865554291,12.2,20.68,20.9,17.650000000000002,14.896271959856664
1932.5,-141.17777777777778,-111.945,-110.73124999999999,-112.565,-113.37524652654349,11.9,20.53,20.9,17.53333333333333,14.585347761072757
1933.5,-136.8777777777778,-110.155,-117.73124999999999,-111.24833333333333,-119.5124175889647,11.8,20.38,20.9,17.408333333333335,14.6121980066403
1934.5,-142.27777777777777,-108.695,-112.33125,-109.13166666666667,-132.712393909649,11.9,20.22,20.9,17.275,14.428320468936832
1935.5,-136.67777777777778,-106.32499999999999,-107.93125,-105.76500000000001,-120.35791795291959,11.9,20.07,20.6,17.150000000000006,13.71523696394151
1936.5,-140.57777777777778,-103.335,-109.53124999999999,-104.14833333333334,-126.17735257944389,11.8,19.92,20.099999999999998,17.033333333333328,13.673865142846683
1937.5,-134.8777777777778,-99.815,-107.03124999999999,-102.50666666666666,-116.94777983870739,11.8,19.76,20.299999999999997,16.891666666666662,13.2728947805758
1938.5,-132.27777777777777,-96.10499999999999,-96.03124999999999,-100.47333333333333,-107.4503521172576,11.8,19.61,19.8,16.76666666666667,13.496351179178596
1939.5,-127.07777777777778,-93.785,-102.73124999999999,-97.44833333333332,-103.2710988107489,12.2,19.45,20.099999999999998,16.641666666666666,13.212793909343809
1940.5,-132.3777777777778,-92.51499999999999,-86.23125,-95.45666666666668,-113.94071529050049,11.1,19.29,20.299999999999997,16.508333333333333,12.657499975826743
1941.5,-120.17777777777778,-91.005,-84.43124999999999,-93.09833333333333,-98.5967868703769,10.8,19.14,20.2,16.375,12.698360783004627
1942.5,-120.17777777777778,-89.41499999999999,-93.03125,-91.46500000000002,-98.4439199257125,10.8,18.98,20.2,16.275,12.512916829782666
1943.5,-120.17777777777778,-87.66499999999999,-97.53125,-90.54,-91.9205088857503,10.8,18.82,20.6,16.125,12.146893027619969
1944.5,-126.57777777777778,-85.925,-111.83124999999998,-88.22333333333336,-100.4543736042995,10.7,18.66,20.099999999999998,15.966666666666667,11.731112846051257
1945.5,-123.77777777777777,-83.16499999999999,-106.73124999999999,-86.36500000000001,-100.7542856810292,10.7,18.51,20.0,15.850000000000001,12.07720416667487
1946.5,-116.27777777777777,-79.515,-83.13125,-82.72333333333333,-86.052800680418,10.6,18.35,19.3,15.716666666666665,11.923687462079029
1947.5,-113.17777777777778,-77.285,-87.33125,-81.19833333333332,-94.1241999258631,9.6,18.19,18.700000000000003,15.566666666666668,11.218142154741102
1948.5,-108.37777777777778,-76.185,-80.33125,-80.17333333333335,-86.1897667106338,9.3,18.03,18.5,15.441666666666663,11.35974775472721
1949.5,-109.67777777777778,-75.235,-69.13125,-78.27333333333334,-73.90304370561523,8.4,17.87,18.5,15.316666666666665,11.067363041230157
1950.5,-107.47777777777777,-73.645,-67.43124999999999,-77.29833333333335,-77.76902263374144,7.9,17.71,18.6,15.158333333333333,10.950230275001196
1951.5,-97.97777777777777,-71.515,-69.03125,-76.07333333333334,-67.19843177606003,7.8,17.55,18.2,15.025000000000002,11.595599155350374
1952.5,-100.57777777777778,-69.585,-70.33125,-73.50666666666667,-67.1603837408617,7.7,17.4,18.3,14.908333333333335,11.094982804106385
1953.5,-96.17777777777778,-68.285,-70.33125,-73.39,-61.35344247698718,7.5,17.24,18.3,14.775,11.006090674110556
1954.5,-99.07777777777778,-67.695,-65.03125,-72.52333333333335,-71.52038273341583,7.3,17.09,18.2,14.633333333333338,10.296023581056891
1955.5,-98.17777777777778,-67.445,-83.33125,-72.565,-68.20866211557352,7.1,16.93,18.3,14.491666666666665,10.282077499987027
1956.5,-103.27777777777777,-66.975,-84.13125,-70.99833333333333,-81.6225291353598,7.0,16.77,18.3,14.35833333333333,9.859455813500707
1957.5,-89.87777777777778,-66.565,-71.53125,-68.28166666666668,-65.52536802590804,6.9,16.61,17.1,14.23333333333333,10.395247766636539
1958.5,-88.47777777777777,-66.285,-66.83124999999998,-68.45666666666668,-67.31007834595381,6.6,16.45,15.5,14.091666666666667,8.562928989755788
1959.5,-88.17777777777778,-66.005,-66.63125,-68.08166666666666,-64.31355918983111,6.5,16.28,14.8,13.950000000000003,8.568680564585547
1960.5,-84.47777777777777,-65.705,-73.03124999999999,-68.165,-58.45061594506423,6.6,16.12,14.8,13.824999999999994,8.293851545414356
1961.5,-78.27777777777777,-65.545,-66.33125,-68.86500000000001,-58.79702996890687,6.6,15.96,14.7,13.674999999999999,8.233093973752569
1962.5,-83.47777777777779,-65.595,-64.83125,-68.73166666666667,-60.69417260224964,6.6,15.8,14.6,13.549999999999997,7.785643711663884
1963.5,-85.07777777777778,-65.835,-61.53125,-68.27333333333334,-60.27363446175771,6.6,15.63,17.4,13.408333333333333,8.080824219005091
1964.5,-92.97777777777777,-65.945,-79.53125,-68.68166666666667,-64.33431169870326,6.7,15.46,17.2,13.258333333333335,8.20020722211811
1965.5,-81.77777777777777,-66.015,-67.43124999999999,-65.14833333333333,-58.23772033196164,6.7,15.3,17.7,13.14166666666667,7.890619898191396
1966.5,-87.17777777777778,-65.565,-76.33125,-64.97333333333334,-64.33216646006488,6.6,15.13,14.5,12.966666666666667,7.805926849573543
1967.5,-85.77777777777777,-64.49499999999999,-78.33125,-66.78166666666668,-64.54924013175979,6.5,14.95,14.5,12.83333333333333,7.67496108338635
1968.5,-84.97777777777777,-63.51500000000001,-74.23124999999999,-64.73166666666667,-66.57797650744979,6.7,14.78,14.6,12.674999999999999,7.438283206804112
1969.5,-78.17777777777778,-63.085,-76.13125,-62.07333333333335,-66.26225961691819,7.0,14.61,14.6,12.541666666666666,7.490825886668569
1970.5,-80.07777777777778,-62.995,-69.23124999999999,-63.39833333333334,-66.48666565493329,7.0,14.43,14.8,12.383333333333335,7.635289232293316
1971.5,-74.87777777777777,-62.73500000000001,-62.03125,-63.00666666666669,-54.34368958646931,6.9,14.25,14.5,12.241666666666669,7.721611764200381
1972.5,-65.77777777777777,-61.93500000000001,-69.23124999999999,-61.04833333333333,-60.07030724430791,6.9,14.07,14.399999999999999,12.091666666666665,7.7013918499482
1973.5,-71.77777777777777,-60.82500000000001,-67.03125,-60.86500000000001,-64.8276607003356,6.8,13.89,14.399999999999999,11.941666666666663,7.593169411602896
1974.5,-59.877777777777766,-59.255,-48.33125000000001,-60.531666666666666,-58.3611974266077,6.8,13.71,14.5,11.783333333333331,7.624966669277326
1975.5,-61.47777777777779,-57.665,-61.83124999999998,-59.64,-49.70310357646741,6.7,13.52,14.1,11.641666666666667,7.271474997586815
1976.5,-62.47777777777779,-56.21500000000001,-64.33124999999998,-57.19000000000001,-59.67812180408535,6.8,13.33,14.2,11.483333333333336,6.931419606188944
1977.5,-64.17777777777778,-54.975,-69.93124999999999,-55.57333333333334,-55.04337622227649,6.6,13.14,14.0,11.333333333333329,7.074211273741933
1978.5,-57.77777777777777,-53.615,-56.431250000000006,-53.798333333333346,-59.71939731594168,6.7,12.95,14.1,11.158333333333331,6.93622325580335
1979.5,-62.67777777777778,-52.095000000000006,-56.03125,-52.565,-49.8365005611503,6.7,12.75,14.2,10.991666666666664,6.866175081834471
